state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day calls,total day charge,total eve calls,total eve charge,total night calls,total night charge,total intl calls,total intl charge,customer service calls,churn
NV,76,510,377-4169,yes,no,0,120,40.97,96,19.7,67,9.91,1,2.67,1,TRUE
WV,93,415,384-5343,no,no,0,95,24.09,100,18.79,71,10.22,3,2.75,0,FALSE
WA,83,408,338-4472,no,no,0,96,22.92,78,14.21,123,7.27,5,2.08,2,FALSE
KS,123,415,332-2126,no,no,0,119,27.73,51,21.2,77,7.57,10,2.43,1,FALSE
VT,64,408,349-2157,no,no,0,116,24.74,110,19.41,91,12.3,8,2.4,1,FALSE
OK,82,510,393-4823,no,no,0,73,56.07,120,17.71,102,12.02,6,2.86,0,TRUE
GA,107,510,385-2683,no,no,0,97,33.07,131,15.84,106,8.02,1,3.43,2,FALSE
CO,110,510,345-8350,no,no,0,93,22.42,106,23.18,105,8.68,4,1.92,1,FALSE
AK,96,408,334-4506,no,yes,29,91,25.5,75,13.55,55,10.26,3,2.3,1,FALSE
TN,47,415,332-3544,no,yes,30,93,33.42,140,20.52,118,10.17,4,3.48,2,FALSE
KY,115,510,380-5102,no,no,0,107,16.95,96,12.33,99,6.72,4,3.81,2,FALSE
PA,69,415,395-6149,no,no,0,88,24.41,86,12.05,83,8.73,5,2.92,3,FALSE
CT,163,408,398-8122,no,yes,40,56,39.42,91,18,74,12.08,3,3.32,2,FALSE
CT,90,415,334-4438,no,no,0,80,6.43,105,13.2,111,7.88,5,3.83,3,FALSE
MN,98,415,384-7459,no,no,0,107,12.38,103,15.84,110,7.89,4,2.84,3,FALSE
WY,90,408,368-3931,no,yes,39,89,16.12,91,18.62,65,8.88,5,3.08,1,FALSE
PA,174,415,353-1352,no,yes,15,143,37.71,115,17.9,109,9.98,9,3.35,1,FALSE
OR,95,415,348-5725,no,no,0,120,45.73,120,19.86,61,8.07,4,1.97,2,TRUE
PA,79,415,365-2008,no,no,0,114,45.61,111,15.77,88,11.91,7,1.7,1,TRUE
OK,123,415,393-3635,no,yes,27,127,33.78,105,21.17,124,7.79,5,3.38,1,FALSE
VT,99,415,380-8727,no,no,0,75,19.64,111,18.54,98,11.47,7,3.11,7,TRUE
ID,114,415,381-2376,no,no,0,100,34.36,102,16.63,120,13.13,5,3.59,2,FALSE
PA,141,510,365-8114,no,no,0,113,36.65,81,17.05,107,6.92,6,3.35,1,FALSE
NM,132,408,415-5008,no,no,0,107,28.88,121,17.8,79,9.27,2,3.11,1,FALSE
FL,133,510,392-8318,no,no,0,85,34.29,116,14.4,80,12.88,4,1.62,0,FALSE
TX,133,408,401-4007,no,no,0,133,37.59,140,13.62,84,7.28,3,2.27,4,FALSE
VT,93,510,338-7709,no,yes,32,117,37.18,61,9.78,85,8.67,5,2.54,2,FALSE
MA,34,415,374-1981,no,no,0,89,49.93,71,23.16,76,8.02,10,2.97,2,TRUE
OR,140,415,333-5101,no,no,0,108,20.45,84,20.43,74,9.74,3,2.08,4,TRUE
DE,96,415,345-3734,no,yes,26,96,29.89,84,17.56,105,8.01,2,3,2,FALSE
FL,144,510,384-5004,no,no,0,95,47.35,90,20.46,90,5.4,5,3.13,1,TRUE
ID,24,408,341-9396,no,yes,29,105,40.17,114,16.22,105,5.81,2,1.94,3,FALSE
MD,54,415,408-6302,no,no,0,113,46.55,156,10.17,117,12.04,3,3.16,1,FALSE
WV,50,408,348-7193,no,no,0,129,22.29,94,13.64,88,9.31,9,1.51,5,TRUE
ID,92,415,417-4063,no,yes,23,83,28.46,129,21.98,110,5.24,3,3.02,4,FALSE
NV,96,408,375-6911,no,no,0,68,33.61,53,21.29,67,8.15,3,2.84,3,FALSE
OH,146,415,358-3604,no,no,0,93,28.82,71,19.63,115,12.14,7,2.43,2,FALSE
ID,138,415,339-7485,yes,yes,17,116,38.28,88,14.74,99,6.56,4,3.16,0,FALSE
SC,102,408,368-3078,no,no,0,73,29.67,114,18.16,116,7.41,5,2.78,4,FALSE
MO,76,510,418-7055,no,no,0,84,22.05,80,15.09,87,10.3,3,2.03,5,TRUE
NE,99,415,386-9981,no,no,0,66,34,104,9.17,82,10.52,2,3.08,3,FALSE
NC,83,510,366-2541,no,yes,36,87,16.3,105,22.24,109,10.29,4,3.59,0,FALSE
ME,36,510,335-3110,no,yes,25,110,25.98,67,20.64,74,6.63,2,2.46,1,FALSE
MI,70,510,400-7809,no,no,0,102,22.08,133,17.74,93,10.41,3,3.86,1,FALSE
AZ,109,415,404-3106,yes,no,0,85,45.63,131,12.8,84,13.41,8,2.62,2,TRUE
AZ,100,415,333-2337,no,no,0,152,32.05,115,12.61,88,8.09,5,4.1,2,FALSE
HI,104,408,353-6482,no,no,0,97,29,111,13.78,131,9.48,1,1.65,1,FALSE
NJ,106,415,397-8162,no,no,0,124,32.54,116,17.06,76,10.35,3,2.21,1,FALSE
MS,84,510,380-6722,no,no,0,96,12.8,113,15.29,134,8.72,1,3.32,1,FALSE
MA,80,510,329-2918,no,no,0,123,25.47,75,23.49,75,10.86,7,2.94,2,FALSE
SC,100,510,348-8022,no,no,0,87,19.7,56,9.46,77,7.66,4,1.92,1,FALSE
MN,99,408,388-4459,no,no,0,86,21.9,105,17.33,131,12.72,4,3.81,2,FALSE
WV,50,510,358-3114,no,no,0,108,22.39,103,18.4,126,8.82,5,2.97,1,FALSE
MS,105,415,343-9654,no,no,0,48,17.24,119,13.52,53,11.66,2,3.29,1,FALSE
VA,113,415,401-9909,no,yes,23,104,25.33,67,20.04,76,9.08,5,2.57,4,FALSE
MS,111,415,404-9978,no,yes,36,123,16.46,105,14.5,85,7.47,4,3.62,2,FALSE
NM,161,408,397-8011,no,no,0,121,18.28,46,21.79,131,11.12,3,3.4,2,FALSE
TX,70,415,341-8719,no,no,0,95,39.58,111,25.79,104,11.5,7,3.48,0,TRUE
HI,97,415,408-1242,no,yes,43,105,20.59,115,22.12,100,10.01,5,2.24,3,FALSE
WA,130,510,406-7726,no,no,0,70,21.13,99,23.01,83,10.78,6,0.95,0,FALSE
WI,92,415,351-2773,no,no,0,101,26.81,100,25.38,99,9.76,3,3.73,1,FALSE
CO,119,408,368-6174,no,no,0,68,21.13,88,17.6,93,7.08,1,4,0,FALSE
NV,115,415,334-5029,no,no,0,125,48.69,74,17.48,141,8.61,6,1.86,1,TRUE
RI,134,415,413-1789,no,no,0,95,24.09,101,17.48,60,9.83,6,2.38,0,FALSE
VA,127,408,414-1246,no,yes,25,91,29.41,64,20.89,99,13.5,3,1.3,0,FALSE
NJ,80,415,330-4978,no,no,0,120,45.68,147,25.59,140,7.52,1,1.57,2,TRUE
ND,153,415,386-1631,no,yes,31,130,37.15,103,11.41,105,5.35,6,2.54,0,FALSE
MN,85,415,363-1208,no,no,0,114,43.4,83,16.54,78,12.45,5,1,3,FALSE
HI,79,415,334-5263,no,no,0,124,7.12,95,17.94,55,10.71,5,3.08,1,FALSE
ND,35,415,361-4137,no,no,0,87,44.34,78,21.94,123,5.91,2,1.57,1,FALSE
WI,120,408,374-8187,no,yes,26,94,40.7,88,22.05,132,10.71,3,2.08,0,FALSE
MN,68,510,370-1525,no,no,0,94,38.54,129,14.31,117,8.49,1,2.75,0,FALSE
DC,60,408,355-3801,no,no,0,147,30.48,89,17.76,98,11.17,6,3.65,1,TRUE
KS,120,510,392-5605,no,no,0,110,26.86,103,16.75,132,6.97,5,2.7,1,FALSE
MT,71,510,363-1366,no,yes,23,82,29.87,136,22.01,154,12.08,7,3.81,1,FALSE
WV,124,415,358-5274,no,no,0,107,26.76,112,14.26,102,8.5,3,2.38,3,FALSE
ME,23,510,376-9607,no,no,0,74,19.23,95,14.35,126,11.83,2,1.86,1,TRUE
WY,225,415,374-1213,no,no,0,142,31.06,63,20.95,103,9.81,2,2.38,1,FALSE
NY,181,415,421-8537,yes,no,0,83,27.42,83,10.57,98,11.79,3,3.81,0,TRUE
VT,63,415,351-5576,no,no,0,92,24.23,102,17.71,120,10.3,2,2.03,2,FALSE
NC,54,415,407-7258,yes,no,0,108,32.39,108,22.07,111,6.37,2,2.62,2,TRUE
MO,80,408,405-4420,yes,yes,15,110,27.08,120,14.5,82,6.35,5,3.21,1,FALSE
NC,118,408,340-2855,yes,yes,39,106,26.15,111,10.48,103,5.3,6,2.48,1,FALSE
NJ,42,408,342-8002,yes,no,0,127,30.72,94,14.84,114,7.44,6,3.24,2,FALSE
OH,134,408,355-6826,no,no,0,105,34.46,90,19.12,108,11.43,7,3.27,0,FALSE
TX,66,415,402-3886,no,yes,35,100,32.44,93,22.21,108,9.43,6,2.4,0,FALSE
WA,66,415,336-5900,no,no,0,102,34.87,109,19.78,95,11.7,6,2.48,2,FALSE
TN,127,415,339-7684,no,yes,28,124,40.05,113,20.13,127,10.85,2,2.08,1,FALSE
HI,146,510,390-2433,no,no,0,77,32.18,128,13.25,83,8.37,3,2,0,FALSE
WY,93,408,360-7246,no,yes,42,101,28.37,84,23.22,106,7.69,1,3.11,1,FALSE
CT,77,415,335-6508,no,no,0,87,41.68,83,21.6,91,10.77,4,2.03,0,TRUE
NM,111,415,348-6720,no,no,0,125,22.54,67,18.79,101,5.76,2,3.43,4,TRUE
NJ,125,415,406-6400,no,no,0,64,30.99,121,11.88,96,7.72,7,3.13,2,FALSE
AL,115,510,390-7370,no,yes,14,86,32.69,90,7.54,120,10.32,3,2.84,2,FALSE
MN,115,510,390-5055,yes,no,0,110,20.74,100,18.72,124,8.09,2,2.92,2,TRUE
NC,114,408,405-7542,no,no,0,101,32.81,81,21.25,79,6,2,2.59,2,FALSE
OH,106,415,364-4927,no,no,0,112,26.96,114,18.7,106,11.38,3,2.46,0,FALSE
ND,118,415,329-3458,no,yes,39,125,15.56,113,18.69,99,10.31,8,3.43,2,FALSE
CO,59,510,331-3842,no,no,0,92,26.11,88,17.47,89,5.15,10,3.38,1,FALSE
ND,87,415,343-4147,yes,yes,40,79,37.67,74,13.35,124,10.01,3,3.11,1,FALSE
NY,21,415,335-2274,no,no,0,81,41.6,117,14.28,87,12.67,1,1.78,1,FALSE
WI,142,408,343-3227,no,yes,24,103,40.77,65,24.3,106,11.55,4,2.57,0,FALSE
WY,62,415,336-6907,no,no,0,132,29.31,100,19.59,109,10.27,5,2.97,0,FALSE
OR,149,415,331-1391,no,no,0,83,41.23,97,20.86,80,9.88,3,2.7,3,TRUE
CO,54,510,360-1643,no,yes,39,82,19.99,60,13.53,113,10.64,10,3.05,2,FALSE
LA,112,510,410-2518,no,no,0,127,29.67,71,22.04,120,7.67,7,3.05,1,FALSE
AL,68,510,344-4970,no,no,0,83,26.74,85,18.78,129,9.85,7,3.24,1,FALSE
TX,201,415,408-1486,no,yes,21,97,32.64,81,20.32,125,5.22,3,4.08,1,FALSE
PA,88,510,396-1648,no,no,0,76,37.09,60,14.39,99,6.35,1,2.16,1,FALSE
IL,85,415,391-2022,no,yes,29,97,24.58,102,11.9,148,7.44,3,2.94,1,FALSE
DE,51,415,420-6465,yes,no,0,108,26.11,85,19.8,92,9.64,4,3.81,0,TRUE
MO,45,510,398-2628,no,yes,29,104,23.09,101,18.91,92,10.6,6,2.13,2,FALSE
AR,116,510,409-5519,no,no,0,69,27.32,106,12.48,144,12.95,5,2.21,0,FALSE
OH,146,408,391-8554,no,yes,31,91,34.43,108,20.52,77,7.63,2,2.11,1,FALSE
WI,63,510,395-1693,no,yes,34,119,25.87,91,19.3,103,8.81,5,3.32,1,FALSE
GA,133,510,393-3194,no,no,0,90,38.66,135,6.22,99,5.14,7,1.27,0,FALSE
KY,125,408,328-3402,no,no,0,115,32.57,108,17.48,123,9.46,3,2.48,2,FALSE
OH,72,510,411-4781,no,no,0,111,23.61,102,17.99,91,8.08,3,2.92,1,FALSE
TN,130,408,401-2581,no,no,0,102,21.59,107,17.59,99,10.43,6,1.65,0,FALSE
SD,97,415,385-1214,no,no,0,87,28.66,105,22.03,123,12.59,4,1.97,1,FALSE
NY,54,415,348-6853,no,no,0,73,48.72,108,18.97,107,9.17,5,3.11,1,TRUE
GA,160,415,341-8412,no,yes,29,121,27.98,108,22.34,131,5.57,4,4.1,1,FALSE
TX,79,415,330-8142,no,no,0,90,24.48,91,11.54,129,9.56,4,3.51,1,FALSE
WV,92,415,361-1404,no,yes,47,95,24.07,130,17.67,95,9.16,11,2.75,0,FALSE
MI,59,415,375-9671,no,no,0,65,34.73,123,21.02,94,9.66,4,3.24,1,FALSE
ND,132,510,372-1824,no,no,0,80,27.74,90,14.25,90,3.94,10,1.67,1,FALSE
NE,21,510,408-3606,no,no,0,110,38.25,111,20.76,93,9.95,4,2.89,0,FALSE
SD,93,415,333-3595,no,no,0,103,29.94,130,16.97,96,11.88,6,2.3,2,FALSE
NJ,147,415,379-7009,no,yes,36,78,43.21,105,19.39,125,4.41,7,3.73,5,FALSE
AK,101,510,411-4940,no,no,0,105,29.73,75,22.27,93,9.45,5,2.3,1,FALSE
CT,125,415,409-7523,yes,no,0,118,31.84,111,13.66,112,11.87,2,2.59,0,TRUE
CO,63,415,408-6725,no,no,0,84,36.01,137,19.63,99,9.77,9,2.89,3,FALSE
MD,107,415,350-2384,no,no,0,102,41.12,117,10.79,92,8.35,6,3.16,0,FALSE
ND,110,408,348-1706,no,no,0,103,33.34,123,16.97,71,6.12,1,3.48,3,FALSE
NH,83,415,415-6145,no,no,0,100,39.32,84,17.88,106,9.78,2,3.35,3,FALSE
MN,117,408,373-3731,no,no,0,104,27.47,119,16.69,111,13.27,2,3.73,1,FALSE
KY,124,415,341-3349,no,no,0,103,32.98,116,20.49,153,10.24,5,3.21,0,FALSE
NH,115,510,399-8859,no,no,0,148,18.65,87,19.02,96,10.81,8,4.16,3,FALSE
CO,156,408,377-4518,yes,no,0,119,47.09,106,20.26,96,4.25,3,2.24,1,FALSE
KY,89,408,341-1594,no,no,0,83,32.66,88,13.91,138,7.64,3,1.65,0,FALSE
KY,72,415,418-8770,no,no,0,147,33.73,121,18.44,125,5.08,4,3.54,0,FALSE
IN,101,415,332-9118,no,yes,42,82,35.56,74,13.57,100,8.17,3,2.57,0,FALSE
OR,53,415,386-1418,no,no,0,98,31.42,125,18.39,116,6.35,3,4.97,2,FALSE
SD,116,408,393-3535,no,no,0,119,28.53,123,12.07,128,8.58,4,1.97,2,FALSE
DE,78,408,328-9006,no,no,0,140,23.66,113,16.27,125,12.89,3,3.19,3,FALSE
OR,117,415,402-2482,no,yes,17,82,37.62,100,14.25,87,11.82,4,1.19,0,FALSE
NE,56,510,408-4865,no,no,0,84,20.67,115,14.05,95,10.98,2,2.4,1,FALSE
OH,123,408,396-6247,no,yes,39,99,45.97,110,20.83,113,4.9,7,4.16,1,FALSE
OH,127,408,396-9462,no,no,0,94,23.73,112,20.48,88,5.72,4,2.38,2,FALSE
AR,116,415,396-9279,no,yes,23,78,43.01,121,11.81,104,12.5,3,3.19,2,FALSE
KS,138,510,363-8715,no,yes,26,83,31.26,93,20.46,125,8.36,3,4.05,1,FALSE
TX,120,415,356-1358,no,no,0,108,34.56,66,22.09,103,5.22,2,2.11,3,FALSE
WI,102,408,360-7839,no,no,0,106,34.1,127,12.96,128,8.97,2,2.08,3,FALSE
OR,95,415,364-8774,no,no,0,96,28.49,89,14.96,113,11.29,6,3.62,2,FALSE
VA,102,408,348-5038,no,no,0,67,26.61,103,17.37,72,6.39,2,2.67,2,FALSE
AR,89,415,365-4728,no,yes,25,140,36.57,69,16.78,117,7.29,10,2.86,1,FALSE
CT,50,408,351-9037,no,no,0,82,51.29,118,14.2,89,3.25,6,2.84,1,FALSE
OH,93,415,397-9184,no,yes,42,90,25.89,102,22.74,130,12.01,5,3.05,7,FALSE
WY,68,510,398-4538,no,no,0,116,33.22,101,18.03,134,6.23,11,4.08,1,FALSE
IL,70,408,382-6827,no,no,0,97,35.48,83,23.42,122,8.21,3,2.16,2,FALSE
MO,138,415,408-1340,no,yes,29,87,32.32,123,18.97,130,11.53,6,3.83,0,FALSE
DC,141,415,333-9511,no,yes,37,87,31.52,128,15.17,107,9.82,3,2.16,4,FALSE
MA,112,415,358-7379,no,yes,17,95,31.14,125,21.49,95,7.05,3,2.62,0,FALSE
NH,117,510,397-1766,yes,no,0,100,9.21,84,25.77,84,7.73,2,2.32,1,TRUE
IA,1,408,331-2144,no,yes,26,115,35.36,113,15.73,144,8,9,2.19,1,FALSE
AL,70,415,345-7014,no,no,0,110,39.15,87,6.62,105,11.12,4,3.56,1,FALSE
OR,87,510,395-1898,no,yes,22,102,40.94,106,6.45,115,10.11,3,1.92,2,FALSE
WV,52,510,373-8920,no,yes,21,119,33.27,95,9.03,94,7.08,3,1.43,2,FALSE
WA,97,408,373-8908,no,no,0,82,46.94,106,17.09,73,10.41,4,2.4,0,TRUE
NV,105,408,415-1203,no,no,0,93,28.24,106,14.95,55,10.96,3,4.37,2,FALSE
SC,77,510,369-7017,no,yes,28,117,23.1,102,20.78,74,9.34,3,3.11,4,TRUE
NC,80,415,420-8435,yes,no,0,122,32.15,92,18.97,116,12.11,3,3.75,2,TRUE
NH,120,510,395-2579,no,yes,43,117,30.24,70,14.88,117,7.26,4,3.11,1,FALSE
WY,54,408,405-7850,no,yes,39,73,24.46,117,17.88,117,5.81,8,3.38,2,FALSE
FL,148,510,394-7710,yes,no,0,138,25.19,123,13.57,62,8.88,3,2.32,2,FALSE
PA,119,408,342-4122,no,no,0,115,48.81,99,13.54,86,9.76,1,3.75,2,TRUE
NC,162,408,340-1876,no,yes,26,144,30.55,129,18.54,105,9.55,8,2.51,1,TRUE
MO,85,510,383-6095,no,no,0,96,28.19,141,16.15,116,6.48,3,2.94,5,TRUE
KS,101,510,413-1061,no,yes,25,144,24.5,105,14.25,107,10.8,3,3.92,1,FALSE
KY,172,415,343-5347,no,no,0,85,29.33,71,21.51,113,9.97,6,1.59,0,FALSE
DE,80,415,376-4861,no,no,0,138,33.97,91,14.2,94,12.23,4,1.49,1,FALSE
WI,67,510,417-2265,no,no,0,134,18.55,76,12.1,86,4.1,5,2.94,2,FALSE
CO,86,408,419-7415,no,no,0,106,29.21,44,25.64,108,6.27,5,2.62,1,FALSE
NM,107,415,407-2259,no,no,0,101,37.79,111,24.31,117,11.22,4,3.27,1,TRUE
DE,133,510,333-2906,no,no,0,102,41.79,90,22.5,103,5.03,7,3.02,0,FALSE
IL,116,510,360-7477,no,no,0,110,27.98,103,23,109,10.37,3,2.16,0,FALSE
WA,63,408,342-5243,no,no,0,107,35.99,77,23.09,108,9.15,7,2,0,FALSE
MA,119,408,417-3999,yes,yes,16,103,25.02,96,13.61,120,8.28,2,2.08,0,TRUE
OH,133,408,379-1720,yes,no,0,103,43.3,80,21.44,103,8.01,3,2.16,0,TRUE
TN,94,408,368-3117,yes,no,0,113,28.92,94,23.1,78,4.98,4,2.35,1,FALSE
MA,69,510,352-5000,no,no,0,91,33.17,57,22.23,90,9.17,5,3.08,0,FALSE
MI,146,408,405-7676,no,no,0,83,25.38,130,15.9,100,6.74,4,2.13,7,TRUE
TX,119,510,361-2349,no,no,0,75,13.92,114,21.57,125,9.59,1,2.4,2,TRUE
NH,142,408,383-2901,yes,yes,25,109,32.49,120,12.72,60,10.25,3,2.65,0,FALSE
MD,123,408,369-7049,no,no,0,115,35.17,86,19.07,60,8.88,2,2.24,3,FALSE
MS,101,408,387-5533,no,no,0,156,40.63,106,23.21,93,12.52,8,3.65,1,TRUE
AZ,43,415,362-3660,no,no,0,97,30.48,126,21.48,114,10.24,5,2.16,0,FALSE
IN,69,408,357-3577,no,no,0,91,31.5,88,18.62,107,10.96,5,1.49,0,FALSE
NY,15,510,394-3312,yes,no,0,80,24.04,76,10.53,88,14.56,3,2.19,2,FALSE
WI,107,510,395-8330,no,yes,25,91,42.26,115,10.14,83,8.74,1,3.24,1,FALSE
WV,67,510,373-8895,no,no,0,131,25.93,107,21.45,104,8.34,3,1.32,2,FALSE
NY,99,415,386-4581,no,no,0,102,24.75,87,19.63,86,8.17,7,3.08,1,FALSE
OK,46,415,354-8191,no,no,0,116,27.91,153,16.68,119,10.62,1,2.19,1,FALSE
NC,55,408,359-7562,yes,no,0,115,37.57,97,14.06,117,10.59,4,2.62,1,FALSE
KY,39,415,359-4336,no,no,0,126,50.22,117,19.73,123,9.2,2,3.11,1,TRUE
TX,92,510,336-9901,no,no,0,98,23.77,143,14.87,135,9.07,7,2.54,2,FALSE
CT,56,415,406-3069,no,no,0,99,27.59,78,12.67,115,11.5,1,4,4,TRUE
NE,76,415,334-6519,no,no,0,97,46.36,95,20.09,105,10.6,2,2.08,0,TRUE
HI,132,408,361-8113,yes,yes,33,75,34.05,67,19.26,91,8.95,3,3.48,2,FALSE
SC,140,510,347-9769,no,yes,28,77,26.71,97,14.65,94,8.3,9,3,1,FALSE
AK,51,510,352-9130,yes,yes,12,60,23.09,134,17.05,98,8.66,7,3.32,2,FALSE
SD,27,408,378-4557,no,no,0,110,40.24,92,19.71,85,7.41,6,3.43,1,FALSE
ID,224,510,360-8919,no,no,0,133,18.94,66,14.88,106,9.77,6,1.49,3,FALSE
OK,105,510,405-4109,yes,yes,28,89,26.54,114,9.1,95,7.55,3,3.97,0,TRUE
WA,117,408,381-2498,no,no,0,93,32.49,56,24.04,118,3.82,4,3.24,2,FALSE
SD,91,415,357-5696,no,no,0,123,26.01,127,11.99,76,7.72,15,2.78,1,TRUE
OH,135,415,412-2947,no,no,0,123,37.2,64,20.64,80,3.86,3,2.78,4,FALSE
VA,146,415,363-3571,no,no,0,101,34.92,77,11.47,83,13.97,2,2.78,3,FALSE
WI,147,415,405-5403,yes,no,0,111,38.28,98,15.72,146,6.44,1,2.67,0,TRUE
IN,68,510,330-9354,no,no,0,127,42.48,118,21.63,98,12.29,6,2.4,2,TRUE
NM,68,408,396-7091,no,no,0,89,22.37,109,11.65,107,11.53,5,2.75,3,FALSE
HI,86,408,398-3004,no,yes,21,99,33.64,100,14.08,120,9.36,9,2.73,0,FALSE
KY,131,415,400-4020,no,no,0,129,28.31,107,17.87,93,11.57,5,2.67,1,FALSE
OH,86,415,356-3448,no,yes,29,79,38.32,112,15.9,112,12.65,3,3.48,1,FALSE
VT,159,415,335-2019,no,no,0,103,46.89,108,16.11,93,10.08,5,2,2,TRUE
AZ,134,415,332-6633,no,yes,40,105,24.29,61,7.53,96,13.05,6,2.92,1,FALSE
VT,113,510,359-7648,no,no,0,113,35.22,80,21.76,87,9.49,1,2.67,1,FALSE
MO,132,408,412-9190,no,no,0,100,35.05,118,17.95,122,8.83,6,2.75,1,FALSE
AL,85,415,368-9007,no,no,0,66,35.75,76,16.64,82,9.97,7,3.02,1,FALSE
NJ,93,510,384-5632,yes,yes,38,117,38.37,122,10.17,125,8.69,7,3.78,1,TRUE
WA,174,408,352-6068,no,yes,33,91,28.53,91,17.45,132,5.85,4,3.92,4,TRUE
NY,61,415,343-9645,no,no,0,118,33.61,96,12.94,93,9.95,3,1.89,2,FALSE
DC,91,415,384-7873,no,yes,39,105,28.87,116,5.54,92,6.5,4,2.94,1,FALSE
NE,88,408,396-2187,no,yes,28,104,32.4,105,20.17,116,9.52,1,2.65,2,FALSE
MA,88,408,383-5109,no,yes,45,140,13.65,101,13.03,123,13.91,3,3.46,2,FALSE
VT,195,415,377-7843,no,yes,36,110,39.39,88,19.13,89,9.08,2,3.27,0,FALSE
NM,182,415,382-7999,no,no,0,114,11.75,109,19.58,96,11.55,4,1.76,0,FALSE
CO,118,408,328-1222,no,no,0,60,32.1,64,18.48,100,9.9,7,2.21,4,FALSE
NH,103,408,371-1727,no,no,0,125,25.6,126,14.37,104,9.95,8,2.81,8,TRUE
IL,65,510,369-8871,no,no,0,89,32.64,88,11.86,102,8.43,4,1.49,2,FALSE
UT,61,408,335-9726,no,yes,25,78,27.83,112,9.62,118,6.03,3,2.67,3,FALSE
WV,172,415,357-3709,no,no,0,100,35.99,101,16.89,136,13.58,9,1.76,1,FALSE
NJ,72,415,422-9964,no,no,0,103,29.84,120,11.25,96,10.93,3,3.19,1,FALSE
NM,113,510,366-9211,no,no,0,120,25.52,85,17.01,105,12,3,2.97,2,FALSE
ND,177,408,384-9033,no,no,0,99,32.22,117,14.99,112,10.17,2,3.83,1,FALSE
WA,100,408,382-4932,no,no,0,94,12.04,102,18.33,125,10.39,1,2.57,6,TRUE
NM,67,415,404-7518,no,no,0,102,36.64,95,16.21,106,9.65,6,2.32,1,FALSE
DE,136,415,353-1954,no,no,0,105,17.29,99,17.24,119,6.13,6,2.54,3,FALSE
GA,71,415,391-7166,no,no,0,132,43.93,119,10.78,87,8.21,8,2.62,4,FALSE
HI,134,408,370-9000,no,no,0,126,41.21,115,13,115,14.32,6,3.19,1,FALSE
CT,124,415,332-3642,no,no,0,82,22.41,119,24.17,101,13.75,2,3.05,1,FALSE
NJ,84,415,412-3898,no,no,0,102,32.33,141,16.8,102,11.14,6,2.65,2,FALSE
ME,39,408,366-5640,no,no,0,104,26.2,112,17.36,92,8.83,4,2.65,2,FALSE
OK,110,510,356-2302,no,no,0,127,31.96,118,7.69,64,6.76,3,4.13,3,FALSE
TN,102,510,345-9018,no,no,0,70,17.53,129,23.38,92,6.35,5,3.02,1,FALSE
WY,70,415,365-6205,no,no,0,130,29.82,130,13.56,96,11.73,4,3.13,0,FALSE
NY,142,415,337-1151,no,no,0,93,24.72,98,17.77,96,9.63,1,2.94,1,FALSE
DE,81,510,374-4664,yes,no,0,85,42.6,50,15.97,131,5.41,5,2.11,1,FALSE
RI,17,415,396-9656,no,no,0,123,27.46,81,18.21,106,14.18,5,2.32,1,FALSE
PA,119,408,377-5043,no,no,0,101,44.22,68,21.8,89,10.31,2,2.7,1,TRUE
HI,105,415,401-7359,no,no,0,124,47.82,96,25.63,109,9.13,3,2.35,0,TRUE
MD,108,415,375-2184,yes,yes,42,90,22.12,128,14.2,80,11.01,5,3.67,3,TRUE
VA,90,415,367-6005,no,no,0,118,17.34,134,9.63,105,8.49,3,3.08,2,FALSE
IN,100,415,364-2166,no,yes,33,104,37.18,144,13.18,117,4.46,4,3.27,1,FALSE
OR,155,408,414-4741,no,yes,30,86,21.85,91,16.01,85,11.45,6,1.84,1,FALSE
AZ,113,510,403-9719,no,no,0,100,21.88,67,19.3,135,8.01,4,2.48,2,TRUE
WI,123,415,371-8452,no,no,0,92,29.27,76,13.82,101,11.26,4,2.35,1,FALSE
VA,145,408,392-6239,no,no,0,124,33.86,86,10.71,135,13.01,3,2.05,1,FALSE
MO,42,415,410-5250,no,no,0,98,31.37,93,17.04,91,12.56,3,2.38,2,FALSE
NV,125,510,336-1574,no,no,0,99,28.66,107,14.93,92,10.95,7,2.94,0,FALSE
HI,131,415,406-8324,no,yes,30,118,29.58,81,17.45,90,9.82,3,1.81,1,FALSE
WA,107,415,411-7110,no,no,0,65,39.17,80,21.88,88,4.83,3,2.3,1,FALSE
IL,48,408,341-9907,no,no,0,73,33.69,115,17.24,73,6.59,5,1.38,1,FALSE
IL,76,510,400-8952,no,no,0,96,31.64,100,17.99,100,10.38,4,2.16,0,FALSE
LA,128,415,333-9266,no,no,0,105,25.25,106,20.66,114,11.48,2,1.84,1,FALSE
WI,73,415,419-4894,no,no,0,109,26.71,83,22.85,91,8.17,8,2.7,0,FALSE
TX,52,415,364-9904,no,no,0,110,26.35,104,11.34,84,7.92,4,1.89,4,TRUE
MI,126,415,394-3048,yes,yes,26,123,21.98,114,15,102,6.95,7,2.59,1,FALSE
NC,124,415,352-6265,no,no,0,77,32.05,123,15.47,127,9.82,6,1.65,1,FALSE
WA,137,408,357-3187,no,no,0,120,35.5,100,19.15,130,9.97,5,3,0,FALSE
ND,71,510,373-8483,no,no,0,82,40.46,94,23.67,134,8.69,10,3.19,0,TRUE
NE,139,415,375-9930,no,no,0,103,35.89,108,17.59,70,8.73,4,1.51,0,FALSE
